service,usageType,region,blendedCost,usageDate,resourceId
NAT Gateway,NatGateway-Hours,us-west-2,1.2716,2026-03-01,nat-823825
S3,DataTransfer-Out-Bytes,us-east-1,0.0237,2026-03-01,bucket-logs-430
Lambda,Lambda-GB-Second,us-west-2,0.0453,2026-03-01,lambda-image-resizer-99
RDS,StorageUsage,us-east-1,1.1099,2026-03-01,db-975978
S3,Requests-Tier1,us-west-2,0.0626,2026-03-01,bucket-backup-476
S3,Requests-Tier1,us-east-1,0.0209,2026-03-01,bucket-logs-376
EBS,EBS:SnapshotUsage,us-west-2,0.5949,2026-03-01,vol-139230
EBS,EBS:SnapshotUsage,us-west-2,0.1015,2026-03-01,vol-155336
RDS,StorageUsage,us-east-1,3.8735,2026-03-01,db-756565
EBS,EBS:SnapshotUsage,us-west-2,0.3475,2026-03-01,vol-618645
EC2,BoxUsage:t3.medium,us-east-1,18.1952,2026-03-01,i-809470
S3,TimedStorage-ByteHrs,us-west-2,0.0224,2026-03-01,bucket-assets-306
RDS,db.t3.small,us-east-2,4.362,2026-03-01,db-397385
EC2,CPUCredits:t3,us-east-2,1.3998,2026-03-01,i-664329
RDS,db.t3.micro,us-east-1,6.0785,2026-03-01,db-482507
EC2,BoxUsage:m5.large,us-east-2,7.3857,2026-03-01,i-122489
RDS,db.t3.small,us-east-2,2.6293,2026-03-01,db-225703
Lambda,Lambda-Requests,us-east-1,0.2755,2026-03-01,lambda-auth-hook-34
S3,Requests-Tier1,us-east-1,0.021,2026-03-01,bucket-backup-653
CloudWatch,Metrics,us-east-1,0.169,2026-03-01,cw-887765
EC2,DataTransfer-Out-Bytes,us-east-2,8.2349,2026-03-01,i-878877
NAT Gateway,DataProcessed-Bytes,us-west-2,2.1733,2026-03-01,nat-721482
EC2,BoxUsage:m5.large,us-east-1,9.799,2026-03-01,i-889141
EC2,CPUCredits:t3,us-west-2,6.821,2026-03-01,i-644909
Lambda,Lambda-GB-Second,us-west-2,0.094,2026-03-01,lambda-auth-hook-20
RDS,StorageUsage,us-east-2,1.1301,2026-03-02,db-177947
EBS,EBS:SnapshotUsage,us-east-1,1.1904,2026-03-02,vol-779287
Lambda,Lambda-Requests,us-east-1,0.0065,2026-03-02,lambda-auth-hook-94
EC2,DataTransfer-Out-Bytes,us-east-2,4.605,2026-03-02,i-941832
EC2,DataTransfer-Out-Bytes,us-east-1,9.7419,2026-03-02,i-280501
EC2,CPUCredits:t3,us-east-1,6.2662,2026-03-02,i-265872
RDS,BackupUsage,us-east-1,2.9571,2026-03-02,db-918458
NAT Gateway,NatGateway-Hours,us-east-1,1.4972,2026-03-02,nat-286206
EBS,EBS:SnapshotUsage,us-east-1,0.1177,2026-03-02,vol-813624
RDS,StorageUsage,us-east-1,2.5328,2026-03-02,db-470490
Lambda,Lambda-Requests,us-west-2,0.3325,2026-03-02,lambda-image-resizer-65
NAT Gateway,DataProcessed-Bytes,us-east-1,3.0118,2026-03-02,nat-609584
EC2,BoxUsage:m5.large,us-east-1,1.3491,2026-03-02,i-687767
Lambda,Lambda-GB-Second,us-east-1,0.3851,2026-03-02,lambda-billing-job-46
NAT Gateway,NatGateway-Hours,us-east-1,2.4144,2026-03-02,nat-357503
S3,Requests-Tier1,us-east-1,0.0321,2026-03-02,bucket-logs-288
CloudWatch,Logs-Ingested,us-west-2,0.0951,2026-03-02,cw-864261
EC2,BoxUsage:m5.large,us-west-2,6.4368,2026-03-02,i-958182
EC2,BoxUsage:t3.medium,us-east-2,7.8815,2026-03-02,i-230062
EC2,BoxUsage:m5.large,us-west-2,6.957,2026-03-02,i-584865
EC2,CPUCredits:t3,us-east-1,9.5993,2026-03-02,i-621943
RDS,BackupUsage,us-east-1,3.4645,2026-03-02,db-379448
CloudWatch,Logs-Archived,us-east-1,0.0944,2026-03-02,cw-228535
RDS,db.t3.micro,us-east-1,6.3997,2026-03-02,db-892558
Lambda,Lambda-GB-Second,us-east-1,0.1139,2026-03-02,lambda-auth-hook-35
Lambda,Lambda-Requests,us-east-1,0.0192,2026-03-02,lambda-image-resizer-68
Lambda,Lambda-GB-Second,us-east-1,0.2039,2026-03-02,lambda-auth-hook-12
EC2,DataTransfer-Out-Bytes,us-east-2,2.9303,2026-03-02,i-367807
EC2,BoxUsage:m5.large,us-west-2,4.1308,2026-03-03,i-634194
RDS,db.t3.micro,us-east-2,7.1444,2026-03-03,db-899399
RDS,StorageUsage,us-east-1,3.1852,2026-03-03,db-491318
S3,DataTransfer-Out-Bytes,us-west-2,0.0322,2026-03-03,bucket-backup-332
RDS,BackupUsage,us-east-2,5.3733,2026-03-03,db-805721
NAT Gateway,NatGateway-Hours,us-east-1,3.1417,2026-03-03,nat-292612
EC2,DataTransfer-Out-Bytes,us-east-1,5.58,2026-03-03,i-435625
EC2,DataTransfer-Out-Bytes,us-east-2,2.0427,2026-03-03,i-958539
S3,DataTransfer-Out-Bytes,us-west-2,0.012,2026-03-03,bucket-media-735
EC2,CPUCredits:t3,us-east-2,1.5385,2026-03-03,i-145133
S3,Requests-Tier1,us-west-2,0.0655,2026-03-03,bucket-backup-748
RDS,db.t3.small,us-east-1,2.6038,2026-03-03,db-186605
Lambda,Lambda-Requests,us-east-1,0.2019,2026-03-03,lambda-event-worker-95
EC2,DataTransfer-Out-Bytes,us-west-2,5.7707,2026-03-03,i-379027
CloudWatch,Logs-Ingested,us-west-2,0.0339,2026-03-03,cw-940110
RDS,db.t3.small,us-east-2,5.1069,2026-03-03,db-910912
CloudWatch,Logs-Ingested,us-west-2,0.0723,2026-03-03,cw-448708
RDS,db.t3.small,us-east-2,5.1144,2026-03-03,db-374180
RDS,StorageUsage,us-east-1,3.0762,2026-03-03,db-988035
RDS,StorageUsage,us-east-1,5.4471,2026-03-03,db-269256
EC2,BoxUsage:m5.large,us-east-1,3.473,2026-03-03,i-539121
EC2,DataTransfer-Out-Bytes,us-east-1,1.37,2026-03-03,i-204337
S3,DataTransfer-Out-Bytes,us-west-2,0.0015,2026-03-03,bucket-logs-342
RDS,db.t3.small,us-east-1,2.3177,2026-03-03,db-311612
EC2,BoxUsage:t3.medium,us-west-2,8.131,2026-03-03,i-657024
EC2,CPUCredits:t3,us-east-1,7.8897,2026-03-03,i-834062
S3,DataTransfer-Out-Bytes,us-west-2,0.0284,2026-03-03,bucket-assets-511
RDS,db.t3.micro,us-east-2,3.1693,2026-03-03,db-806091
S3,TimedStorage-ByteHrs,us-east-1,0.0426,2026-03-03,bucket-logs-894
EC2,BoxUsage:t3.medium,us-east-1,4.1607,2026-03-03,i-432704
RDS,db.t3.micro,us-east-1,2.775,2026-03-03,db-914103
EC2,CPUCredits:t3,us-east-1,3.51,2026-03-03,i-558693
CloudWatch,Logs-Ingested,us-west-2,0.0545,2026-03-03,cw-283213
EC2,BoxUsage:m5.large,us-east-2,5.9716,2026-03-03,i-611940
S3,TimedStorage-ByteHrs,us-west-2,0.0053,2026-03-04,bucket-media-616
EC2,BoxUsage:m5.large,us-west-2,8.2982,2026-03-04,i-913371
S3,TimedStorage-ByteHrs,us-west-2,0.0209,2026-03-04,bucket-assets-362
S3,DataTransfer-Out-Bytes,us-west-2,0.004,2026-03-04,bucket-backup-758
EBS,EBS:IORequests,us-east-1,0.9524,2026-03-04,vol-467768
RDS,BackupUsage,us-east-1,2.7554,2026-03-04,db-656073
EBS,EBS:SnapshotUsage,us-east-1,1.0138,2026-03-04,vol-752214
Lambda,Lambda-GB-Second,us-west-2,0.246,2026-03-04,lambda-billing-job-59
RDS,StorageUsage,us-east-1,5.328,2026-03-04,db-937851
S3,TimedStorage-ByteHrs,us-west-2,0.0393,2026-03-04,bucket-logs-622
Lambda,Lambda-GB-Second,us-east-1,0.1633,2026-03-04,lambda-event-worker-42
RDS,StorageUsage,us-east-1,2.5574,2026-03-04,db-496468
EBS,EBS:IORequests,us-east-1,0.833,2026-03-04,vol-518860
Lambda,Lambda-GB-Second,us-east-1,0.2506,2026-03-04,lambda-auth-hook-95
EC2,DataTransfer-Out-Bytes,us-west-2,3.1225,2026-03-04,i-510677
EC2,DataTransfer-Out-Bytes,us-east-2,1.7759,2026-03-04,i-271213
EC2,BoxUsage:t3.medium,us-east-1,5.8418,2026-03-04,i-145984
EC2,BoxUsage:m5.large,us-east-1,8.9637,2026-03-04,i-641900
S3,DataTransfer-Out-Bytes,us-west-2,0.0471,2026-03-04,bucket-media-239
CloudWatch,Logs-Archived,us-west-2,0.0184,2026-03-04,cw-790558
EC2,BoxUsage:m5.large,us-east-1,17.8765,2026-03-04,i-175527
EC2,BoxUsage:m5.large,us-east-1,7.393,2026-03-04,i-973315
RDS,db.t3.small,us-east-2,1.9159,2026-03-04,db-646144
NAT Gateway,NatGateway-Hours,us-west-2,1.4336,2026-03-04,nat-936704
S3,DataTransfer-Out-Bytes,us-west-2,0.0378,2026-03-04,bucket-logs-496
EC2,DataTransfer-Out-Bytes,us-east-1,1.1526,2026-03-04,i-531170
EBS,EBS:IORequests,us-east-1,0.8306,2026-03-04,vol-778394
EBS,EBS:SnapshotUsage,us-east-1,1.4382,2026-03-04,vol-768137
Lambda,Lambda-Requests,us-east-1,0.3266,2026-03-04,lambda-event-worker-41
Lambda,Lambda-GB-Second,us-west-2,0.1638,2026-03-05,lambda-auth-hook-36
EC2,DataTransfer-Out-Bytes,us-east-2,4.9913,2026-03-05,i-781713
EC2,DataTransfer-Out-Bytes,us-east-2,10.1878,2026-03-05,i-135150
EC2,CPUCredits:t3,us-east-2,10.4362,2026-03-05,i-588264
EBS,EBS:IORequests,us-west-2,1.1084,2026-03-05,vol-613742
CloudWatch,Logs-Ingested,us-east-1,0.1118,2026-03-05,cw-144038
S3,DataTransfer-Out-Bytes,us-west-2,0.0551,2026-03-05,bucket-assets-622
RDS,db.t3.small,us-east-2,3.1465,2026-03-05,db-112947
Lambda,Lambda-Requests,us-west-2,1.3594,2026-03-05,lambda-billing-job-70
Lambda,Lambda-GB-Second,us-east-1,1.5349,2026-03-05,lambda-auth-hook-64
NAT Gateway,NatGateway-Hours,us-west-2,1.6209,2026-03-05,nat-977976
EBS,EBS:IORequests,us-east-1,0.3793,2026-03-05,vol-108051
S3,TimedStorage-ByteHrs,us-west-2,0.012,2026-03-05,bucket-media-789
Lambda,Lambda-Requests,us-east-1,0.5837,2026-03-05,lambda-image-resizer-86
EC2,DataTransfer-Out-Bytes,us-east-2,0.8478,2026-03-05,i-153995
EC2,BoxUsage:t3.medium,us-east-1,8.3626,2026-03-05,i-996223
EC2,BoxUsage:m5.large,us-west-2,4.8409,2026-03-05,i-275716
EC2,BoxUsage:m5.large,us-east-2,10.4738,2026-03-05,i-859897
NAT Gateway,NatGateway-Hours,us-west-2,3.5962,2026-03-05,nat-414674
NAT Gateway,DataProcessed-Bytes,us-west-2,3.1733,2026-03-05,nat-285792
S3,Requests-Tier1,us-east-1,0.0015,2026-03-05,bucket-assets-253
EC2,CPUCredits:t3,us-east-2,5.6109,2026-03-05,i-670940
S3,Requests-Tier1,us-west-2,0.0639,2026-03-05,bucket-backup-716
CloudWatch,Logs-Archived,us-east-1,0.0999,2026-03-05,cw-457344
S3,TimedStorage-ByteHrs,us-east-1,0.0166,2026-03-05,bucket-logs-260
EBS,EBS:SnapshotUsage,us-west-2,1.2236,2026-03-05,vol-274146
EBS,EBS:VolumeUsage,us-west-2,0.7972,2026-03-05,vol-434049
S3,TimedStorage-ByteHrs,us-west-2,0.0162,2026-03-06,bucket-backup-198
S3,Requests-Tier1,us-west-2,0.0302,2026-03-06,bucket-logs-963
NAT Gateway,NatGateway-Hours,us-east-1,2.1151,2026-03-06,nat-617349
S3,Requests-Tier1,us-east-1,0.0568,2026-03-06,bucket-assets-518
RDS,db.t3.micro,us-east-1,0.6692,2026-03-06,db-947141
Lambda,Lambda-GB-Second,us-east-1,0.0367,2026-03-06,lambda-billing-job-30
EC2,BoxUsage:t3.medium,us-east-1,9.3039,2026-03-06,i-383958
RDS,BackupUsage,us-east-1,5.4009,2026-03-06,db-507644
EC2,CPUCredits:t3,us-west-2,10.5738,2026-03-06,i-330492
S3,TimedStorage-ByteHrs,us-east-1,0.0077,2026-03-06,bucket-assets-870
RDS,StorageUsage,us-east-2,0.947,2026-03-06,db-976169
EC2,BoxUsage:m5.large,us-east-1,10.0213,2026-03-06,i-623357
S3,Requests-Tier1,us-east-1,0.0169,2026-03-06,bucket-logs-169
EC2,BoxUsage:m5.large,us-east-2,5.2093,2026-03-06,i-453029
EC2,BoxUsage:m5.large,us-east-2,3.0393,2026-03-06,i-961975
RDS,BackupUsage,us-east-1,2.3307,2026-03-06,db-587907
RDS,db.t3.micro,us-east-2,2.2641,2026-03-06,db-966466
EC2,DataTransfer-Out-Bytes,us-west-2,7.0091,2026-03-06,i-139090
S3,TimedStorage-ByteHrs,us-east-1,0.0486,2026-03-06,bucket-backup-321
Lambda,Lambda-Requests,us-west-2,0.3356,2026-03-06,lambda-event-worker-26
Lambda,Lambda-Requests,us-east-1,0.1247,2026-03-06,lambda-image-resizer-69
S3,TimedStorage-ByteHrs,us-east-1,0.0338,2026-03-06,bucket-logs-982
S3,TimedStorage-ByteHrs,us-west-2,0.0103,2026-03-06,bucket-assets-486
EC2,BoxUsage:m5.large,us-east-1,4.5366,2026-03-06,i-836350
RDS,db.t3.micro,us-east-1,2.0777,2026-03-06,db-821328
EC2,BoxUsage:t3.medium,us-east-2,5.5915,2026-03-06,i-981674
S3,TimedStorage-ByteHrs,us-west-2,0.0879,2026-03-06,bucket-assets-840
EC2,BoxUsage:t3.medium,us-east-2,8.2929,2026-03-07,i-223716
CloudWatch,Logs-Ingested,us-west-2,0.0321,2026-03-07,cw-969260
NAT Gateway,NatGateway-Hours,us-east-1,2.0614,2026-03-07,nat-911677
RDS,db.t3.small,us-east-1,4.1859,2026-03-07,db-649249
Lambda,Lambda-GB-Second,us-west-2,0.3933,2026-03-07,lambda-billing-job-54
S3,Requests-Tier1,us-east-1,0.0106,2026-03-07,bucket-backup-406
EC2,CPUCredits:t3,us-east-2,2.349,2026-03-07,i-749483
RDS,db.t3.micro,us-east-2,6.1489,2026-03-07,db-686177
S3,DataTransfer-Out-Bytes,us-west-2,0.0337,2026-03-07,bucket-logs-873
CloudWatch,Logs-Archived,us-west-2,0.1715,2026-03-07,cw-541070
Lambda,Lambda-Requests,us-west-2,0.3132,2026-03-07,lambda-auth-hook-53
S3,Requests-Tier1,us-east-1,0.0607,2026-03-07,bucket-media-317
Lambda,Lambda-Requests,us-west-2,0.0472,2026-03-07,lambda-event-worker-41
EC2,DataTransfer-Out-Bytes,us-east-2,7.7053,2026-03-07,i-770813
S3,DataTransfer-Out-Bytes,us-east-1,0.0747,2026-03-07,bucket-assets-836
NAT Gateway,DataProcessed-Bytes,us-west-2,2.2996,2026-03-07,nat-757501
CloudWatch,Metrics,us-east-1,0.1324,2026-03-07,cw-361247
CloudWatch,Logs-Archived,us-east-1,0.1475,2026-03-07,cw-733085
EC2,BoxUsage:m5.large,us-east-1,11.1852,2026-03-07,i-634772
EC2,BoxUsage:t3.medium,us-east-2,21.488,2026-03-07,i-607628
NAT Gateway,DataProcessed-Bytes,us-west-2,1.5813,2026-03-07,nat-782398
S3,DataTransfer-Out-Bytes,us-west-2,0.0189,2026-03-07,bucket-assets-775
EC2,BoxUsage:t3.medium,us-east-1,4.8492,2026-03-07,i-456170
EC2,DataTransfer-Out-Bytes,us-east-2,4.8085,2026-03-07,i-538627
EC2,CPUCredits:t3,us-west-2,9.1864,2026-03-07,i-825652
EC2,BoxUsage:m5.large,us-east-1,12.413,2026-03-07,i-122456
S3,TimedStorage-ByteHrs,us-west-2,0.0741,2026-03-07,bucket-logs-182
EC2,CPUCredits:t3,us-west-2,7.6068,2026-03-07,i-183431
CloudWatch,Logs-Ingested,us-west-2,0.0799,2026-03-07,cw-702201
NAT Gateway,DataProcessed-Bytes,us-west-2,3.6839,2026-03-07,nat-785890
CloudWatch,Metrics,us-west-2,0.1973,2026-03-07,cw-409211
RDS,StorageUsage,us-east-1,3.4959,2026-03-08,db-514995
S3,DataTransfer-Out-Bytes,us-west-2,0.0712,2026-03-08,bucket-logs-928
EC2,DataTransfer-Out-Bytes,us-east-1,11.0768,2026-03-08,i-306480
EC2,BoxUsage:m5.large,us-east-2,8.7531,2026-03-08,i-167533
RDS,db.t3.micro,us-east-2,6.0864,2026-03-08,db-120691
EC2,DataTransfer-Out-Bytes,us-east-2,3.9024,2026-03-08,i-490946
Lambda,Lambda-GB-Second,us-west-2,0.2345,2026-03-08,lambda-billing-job-31
Lambda,Lambda-GB-Second,us-west-2,0.1216,2026-03-08,lambda-event-worker-38
RDS,db.t3.micro,us-east-1,7.44,2026-03-08,db-478271
S3,DataTransfer-Out-Bytes,us-east-1,0.0198,2026-03-08,bucket-assets-906
S3,Requests-Tier1,us-east-1,0.0516,2026-03-08,bucket-logs-729
Lambda,Lambda-Requests,us-east-1,0.3869,2026-03-08,lambda-event-worker-32
EBS,EBS:SnapshotUsage,us-west-2,0.2626,2026-03-08,vol-785815
Lambda,Lambda-GB-Second,us-west-2,0.1904,2026-03-08,lambda-event-worker-35
RDS,db.t3.small,us-east-1,3.7304,2026-03-08,db-561720
RDS,StorageUsage,us-east-1,3.6315,2026-03-08,db-329973
EC2,BoxUsage:m5.large,us-west-2,6.7205,2026-03-08,i-210034
NAT Gateway,DataProcessed-Bytes,us-east-1,5.2029,2026-03-08,nat-394998
Lambda,Lambda-Requests,us-east-1,0.3722,2026-03-08,lambda-auth-hook-80
EC2,BoxUsage:t3.medium,us-east-1,7.3257,2026-03-08,i-572197
EC2,DataTransfer-Out-Bytes,us-east-2,2.6133,2026-03-08,i-556853
EBS,EBS:IORequests,us-east-1,0.2061,2026-03-09,vol-509872
RDS,StorageUsage,us-east-1,2.246,2026-03-09,db-268462
NAT Gateway,NatGateway-Hours,us-east-1,3.4031,2026-03-09,nat-725582
EC2,BoxUsage:m5.large,us-west-2,11.553,2026-03-09,i-733421
EC2,DataTransfer-Out-Bytes,us-west-2,1.4532,2026-03-09,i-706227
EBS,EBS:VolumeUsage,us-west-2,0.9313,2026-03-09,vol-224857
S3,Requests-Tier1,us-east-1,0.0691,2026-03-09,bucket-media-330
Lambda,Lambda-Requests,us-west-2,0.1548,2026-03-09,lambda-auth-hook-13
RDS,BackupUsage,us-east-1,5.9068,2026-03-09,db-568198
S3,TimedStorage-ByteHrs,us-east-1,0.0642,2026-03-09,bucket-media-812
Lambda,Lambda-Requests,us-west-2,0.0676,2026-03-09,lambda-event-worker-41
RDS,StorageUsage,us-east-1,3.763,2026-03-09,db-821869
Lambda,Lambda-GB-Second,us-east-1,0.232,2026-03-09,lambda-auth-hook-72
EC2,BoxUsage:m5.large,us-west-2,9.2897,2026-03-09,i-265710
CloudWatch,Logs-Ingested,us-east-1,0.1646,2026-03-09,cw-115228
EC2,BoxUsage:t3.medium,us-east-2,7.2737,2026-03-09,i-425146
Lambda,Lambda-Requests,us-east-1,0.2584,2026-03-09,lambda-billing-job-95
RDS,StorageUsage,us-east-2,3.6106,2026-03-09,db-902012
EC2,CPUCredits:t3,us-east-2,4.9278,2026-03-09,i-500208
EC2,BoxUsage:t3.medium,us-east-1,1.8074,2026-03-09,i-724666
S3,DataTransfer-Out-Bytes,us-east-1,0.0359,2026-03-09,bucket-logs-399
NAT Gateway,DataProcessed-Bytes,us-west-2,6.297,2026-03-09,nat-562757
EC2,DataTransfer-Out-Bytes,us-west-2,1.7651,2026-03-09,i-188818
RDS,db.t3.small,us-east-2,4.7216,2026-03-09,db-761837
EBS,EBS:VolumeUsage,us-west-2,1.4893,2026-03-09,vol-731332
S3,TimedStorage-ByteHrs,us-east-1,0.0329,2026-03-09,bucket-backup-471
S3,TimedStorage-ByteHrs,us-east-1,0.0928,2026-03-09,bucket-assets-791
Lambda,Lambda-Requests,us-east-1,0.0459,2026-03-09,lambda-billing-job-88
Lambda,Lambda-Requests,us-east-1,0.0268,2026-03-09,lambda-event-worker-49
EC2,BoxUsage:m5.large,us-east-1,6.503,2026-03-09,i-638233
RDS,db.t3.micro,us-east-1,5.1741,2026-03-09,db-706686
S3,Requests-Tier1,us-east-1,0.0595,2026-03-09,bucket-backup-613
RDS,db.t3.small,us-east-2,2.5427,2026-03-09,db-310148
EC2,CPUCredits:t3,us-east-2,7.626,2026-03-09,i-761475
CloudWatch,Logs-Ingested,us-east-1,0.1768,2026-03-09,cw-616613
EBS,EBS:IORequests,us-east-1,0.4485,2026-03-10,vol-514315
Lambda,Lambda-GB-Second,us-west-2,0.3167,2026-03-10,lambda-image-resizer-45
RDS,db.t3.micro,us-east-1,0.9262,2026-03-10,db-716042
EC2,BoxUsage:m5.large,us-east-2,11.1045,2026-03-10,i-943258
RDS,db.t3.micro,us-east-1,1.2237,2026-03-10,db-385130
EC2,DataTransfer-Out-Bytes,us-east-1,4.5669,2026-03-10,i-401760
EBS,EBS:SnapshotUsage,us-west-2,0.5904,2026-03-10,vol-329079
EC2,DataTransfer-Out-Bytes,us-east-1,5.9289,2026-03-10,i-733086
EC2,DataTransfer-Out-Bytes,us-east-2,5.0676,2026-03-10,i-496576
Lambda,Lambda-GB-Second,us-east-1,0.3542,2026-03-10,lambda-billing-job-84
EC2,CPUCredits:t3,us-west-2,8.9798,2026-03-10,i-680137
